Protein Construct,Date,Stock Concentration mg/mL,pH,A400,A280_1hr,A280_48-72hr,Stock ID,vWA ID
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6,0.01,1.031,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6,0.05,1.03,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6,0.07,1.035,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6,0.09,1.054,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,-0.06,0.984,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,0.05,0.969,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,-0.02,0.973,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,-0.23,0.982,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,-0.08,0.98,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,6.5,-0.04,0.973,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,-0.06,0.4,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,-0.01,0.383,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,0.14,0.365,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,0.13,0.406,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,0.18,0.388,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7,0.14,0.378,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,0.05,0.957,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,0.02,0.954,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,-0.03,0.945,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,-0.25,0.962,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,-0.09,0.954,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,7.5,-0.12,0.964,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,-0.19,0.998,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,-0.05,0.982,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,-0.01,0.974,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,-0.38,1,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,0.1,0.989,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8,0.01,0.973,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,-0.1,0.98,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,-0.01,0.981,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,0.11,0.976,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,-0.13,0.992,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,0.06,0.985,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,8.5,0,0.981,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,-0.23,0.963,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,0.03,0.956,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,0.15,0.946,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,0.14,0.968,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,0.14,0.987,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,1/23/2026,5.015,9,0.02,0.982,,,
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,2.54,0.047,-0.086,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,2.98,0.041,-0.068,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,3.25,0.038,-0.062,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,3,0.098,-0.091,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,3.23,0.075,-0.083,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4,3.36,0.159,-0.067,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,0.5,0.091,-0.002,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,0.83,0.08,0.022,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,1.28,0.09,0.024,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,0.86,0.187,-0.012,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,1.1,0.164,0.013,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,4.5,1.59,0.133,0.022,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.43,0.455,0.011,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.46,0.444,0.027,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.32,0.432,0.036,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.65,0.406,0.016,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.61,0.465,0.02,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5,0.67,0.51,0.024,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.15,0.804,0.036,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.31,0.782,0.132,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.44,0.769,0.133,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.31,0.808,0.141,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.42,0.809,0.134,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,5.5,0.51,0.81,0.121,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0,0.987,0.934,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0.02,0.976,0.954,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0.01,1.004,0.965,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0.01,0.971,0.92,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0.02,0.957,0.92,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6,0.01,0.984,0.912,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.02,0.859,0.812,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.17,0.826,0.801,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.09,0.848,0.794,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.13,0.869,0.889,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.18,0.869,0.778,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,6.5,0.08,0.875,0.813,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.2,0.835,0.408,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.07,0.831,0.408,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.17,0.834,0.398,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.18,0.827,0.402,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.23,0.821,0.402,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7,0.23,0.821,0.395,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,0.01,0.987,0.91,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,-0.01,0.966,0.913,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,0.01,0.984,0.906,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,0.02,0.963,0.901,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,0,0.947,0.886,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,7.5,-0.01,0.964,0.896,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.02,0.975,0.956,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.07,0.962,0.944,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.03,0.956,0.942,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.07,0.968,0.984,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.07,0.976,0.978,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8,0.24,0.961,0.982,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.08,0.974,0.862,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.18,0.974,0.854,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.12,0.964,0.846,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.18,0.981,0.8,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.16,0.975,0.786,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,8.5,-0.12,0.962,0.797,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,-0.08,1.019,1.049,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,-0.09,1.01,1.042,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,-0.07,1.003,1.058,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,-0.13,1.01,1.01,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,-0.01,1.003,1.006,S11,W2
10xHis-1TEL-TV-vWA,1/28/2026,5.007,9,0.07,1.004,1.03,S11,W2
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,0.2^,0.443,0.298,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,0.63^,0.377,0.277,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,0.84^,0.292,0.243,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,0.44,0.445,0.288,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,0.89,0.399,0.27,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4,1.36,0.348,0.232,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,0.67,0.248,0.195,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,1.05,0.228,0.168,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,1.07,0.179,0.185,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,0.44,0.314,0.198,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,0.76,0.307,0.298,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,4.5,0.92,0.291,0.169,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,-0.05,1.04,1.034,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,-0.24,1.002,1.003,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,-0.19,0.952,0.97,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,0.05,1.045,1.026,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,-0.08,1.008,0.994,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5,0.02,0.927,0.938,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,-0.15,1.084,1.084,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,0.08,1.039,1.044,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,-0.21,0.993,0.992,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,-0.2,1.078,0.967,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,-0.12,1.044,0.947,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,5.5,-0.16,1.005,0.914,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,0.17,0.691^~,0.694^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,-0.15,0.683^~,0.673^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,0.13,0.692^~,0.667^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,-0.21,0.698^~,0.701^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,-0.24,0.686^~,0.69^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6,-0.08,0.683^~,0.683^~,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,0.06,1.01,1.008,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,0.16,1.001,1.01,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,-0.05,0.994,0.996,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,0.18,1.002,0.995,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,0.12,1.01,0.993,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,6.5,0.07,1.01,0.984,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,0.13,0.952,0.982,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,0.02,0.893,0.978,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,-0.01,0.88,0.958,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,-0.06,0.981,0.973,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,-0.32,0.976,0.965,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7,-0.08,0.97,0.954,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,-0.01,0.971,0.987,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,0.02,0.971,0.984,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,0.02,0.981,0.982,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,0.03,0.982,0.988,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,0.01,0.995,0.985,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,7.5,0.05,1.004,0.99,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,0.07,1.007,1.007,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,-0.05,1,0.996,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,-0.01,0.993,1.012,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,0.12,1.001,1.008,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,-0.09,0.999,1.013,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8,-0.05,0.997,1.012,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.07,1.006,1.01,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.11,0.996,1.009,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.15,0.994,1.002,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.15,1.008,1.016,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.19,1.007,1.015,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,8.5,-0.13,1.008,1.013,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,0.02,1.004,0.97,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,-0.14,1.002,0.968,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,0,1.004,0.976,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,0.03,0.986,0.965,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,-0.01,0.985,0.974,S12,
2Trig-1TEL-PA-TNK1.UBA,1/29/2026,4.95,9,-0.16,0.99,0.97,S12,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,1.32,0.04,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,2.51,0.213,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,2.27,0.031,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,1.87,0.641,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,3.31,0.642,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4,4.31,1.221,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,1.77,0.074,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,2.5,0.288,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,2.75,0.134,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,3.06,0.754^,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,3.15,2.551^,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,4.5,2.37,3.365^,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,0.89,0.493,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,1.01,0.482,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,1.18,0.487,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,1.05,0.514,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,1.31,0.67,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5,1.4,0.651,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,0.48,1.208,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,0.55,1.206,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,0.65,1.181,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,0.88,1.588,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,0.94,1.569,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,5.5,1.05,1.302,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.42,0.716,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.51,0.732,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.62,0.705,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.83,0.871,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.67,1.538,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6,0.73,1.166,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.05^,0.553,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.27^,0.573,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.33^,0.548,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.33^,0.602,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.58^,0.569,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,6.5,1.46^,0.578,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,-0.03,0.915,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,-0.01,0.857,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,0.01,0.835,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,-0.02,0.861,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,0.01,0.869,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7,0.09,0.898,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,-0.01,0.988,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,-0.02,0.936,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,0.01,0.899,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,0,0.862,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,-0.01,0.9,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,7.5,0.02,0.92,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,0.01,0.728,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,0.05,0.74,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,0.03,0.756,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,0.01,0.738,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,-0.04,0.7,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8,0,0.688,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,-0.03,0.827,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,0,0.813,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,0.03,0.789,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,-0.04,0.869,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,0.01,0.817,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,8.5,0.02,0.805,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,-0.01,0.621,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,-0.02,0.609,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,0.02,0.592,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,0.03,0.58,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,0.03,0.598,,,
2Trig-10xHis-1TEL-TV-vWA,6/3/2025,5.306,9,0.03,0.601,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,0.86,0.079,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,0.57,0.069,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,0.87,0.076,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,1.72,0.079,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,1.81,0.082,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4,3.14,0.079,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,0.92,0.366,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,0.85,0.343,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,1.14,0.348,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,0.79,0.36,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,0.35,0.341,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,4.5,0.55,0.336,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.05,0.484,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.2,0.504,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.15,0.493,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.15,0.498,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.17,0.511,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5,1.32,0.49,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,0.74,0.624,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,0.88,0.655,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,1.03,0.641,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,0.86,0.654,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,0.95,0.637,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,5.5,1.05,0.636,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0.05^,0.93,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0^,0.926,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0.02^,0.909,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0.03^,0.93,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0.01^,0.934,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6,0.03^,0.931,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.25,0.748,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.3,0.738,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.27,0.72,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.48,0.748,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.59,0.738,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,6.5,0.67,0.724,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,-0.01,0.921,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,0.02,0.898,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,0.01,0.899,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,0,0.884,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,0.05,0.892,,,
2Trig-10xHis-1TEL-TV-vWA,3/11/2026,5.002,7,0.04,0.899,,,
